POS,Name,,Bowling,Batting,Rating,mat,,,,,,,,,,,,,,,,
1,Ravichandran Ashwin,,7,3,5,,,,,,,,,,,,,,,,,
2,Sunil Narine,,9,5,7,,,,,,,,,,,,,,,,,
3,Ravindra Jadeja,,7,5,6,,,,,,,,,,,,,,,,,
4,Rashid Khan,,7,3,5,,,,,,,,,,,,,,,,,
5,Axar Patel,,6,4,5,,,,,,,,,,,,,,,,,
6,Andre Russell,,7,6,6.5,,,,,,,,,,,,,,,,,
7,Krunal Pandya,,5,4,4.5,,,,,,,,,,,,,,,,,
8,Hardik Pandya,,5,5,5,,,,,,,,,,,,,,,,,
9,Sam Curran,,5,4,4.5,,,,,,,,,,,,,,,,,
10,Marcus Stoinis,,5,5,5,,,,,,,,,,,,,,,,,
11,Glenn Maxwell,,4,5,4.5,,,,,,,,,,,,,,,,,
12,Mitchell Marsh,,6,4,5,,,,,,,,,,,,,,,,,
13,Moeen Ali,,5,4,4.5,,,,,,,,,,,,,,,,,
14,Rahul Tewatia,,4,4,4,,,,,,,,,,,,,,,,,
15,Ben Stokes,,4,4,4,,,,,,,,,,,,,,,,,
16,Shahbaz Ahmed,,4,3,3.5,,,,,,,,,,,,,,,,,
17,Cameron Green,,4,5,4.5,,,,,,,,,,,,,,,,,
18,Abhishek Sharma,,4,4,4,,,,,,,,,,,,,,,,,
19,Deepak Hooda,,3,4,3.5,,,,,,,,,,,,,,,,,
20,shardul Thakur,,,,,,,,,,,,,,,,,,,,,
21,pat cummins,,,,,,,,,,,,,,,,,,,,,
22,jofra Archer,,,,,,,,,,,,,,,,,,,,,
23,Washington Sundar,,,,,,,,,,,,,,,,,,,,,
24,marco jensen,,,,,,,,,,,,,,,,,,,,,
25,jayant yadav,,,,,,,,,,,,,,,,,,,,,
26,shefrane rutherford,,,,,,,,,,,,,,,,,,,,,
27,Romario Shepherd,,,,,,,,,,,,,,,,,,,,,
28,Glenn Phillips,,,,,,,,,,,,,,,,,,,,,
30,Venkatesh Iyer,,,,,,,,,,,,61,4.4,6.5,183,0.16493699,0.621848739,0.767938931,0.80620155,0.180555556,0.185410334
31,Ramandeep Singh,,,,,,,,,,,,,,,,,,,,,
32,Mitchell Santner,,,,,,,,,,,,,,,,,,,,,
33,Sai Kishore,,,,,,,,,,,,,,,,,,,,,
34,Mahipal Lomror,,,,,,,,,,,,,,,,,,,,,
35,nithish kumar reddy,,,,,,,,,,,,,,,,,,,,,
36,will jacks,,,,,,,,,,,,,,,,,,,,,
37,azmatullah omarzai,,,,,,,,,,,,,,,,,,,,,
38,daryl mitchell,,,,,,,,,,,,,,,,,,,,,
39,micheal bracewell,,,,,,,,,,,,,,,,,,,,,
40,kamindu mendis,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Player,Teams,Mat,Batting,,,Bowling,,,,,,,,,,,,,,,,
,,,Inns,Runs,Avg,Overs,Wkts,Avg,,,,,,,,,,,,,,
S K Raina,"CSK, GUJ",205,200,5528,32.52,154.2,25,45.8,,,,,,,,,,,,,,
S R Watson,"RRO, RCB, CSK",145,141,3874,30.99,338.1,92,29.15,,,,,,,,,,,,,,
K A Pollard,MIN,189,171,3412,28.67,246,69,31.26,,,,,,,,,,,,,,
Y K Pathan,"RRO, KKR, SUN",174,154,3204,29.13,189.1,42,33.02,,,,,,,,,,,,,,
R A Jadeja,"RRO, KTK, CSK, GUJ",244,188,3035,27.34,648.1,162,30.56,,,,,,,,,,,,,,
G J Maxwell,"DDV, MIN, KXI, RCB",137,131,2801,24.57,163.2,39,34.79,,,,,,,,,,,,,,
Yuvraj Singh,"KXI, PWI, RCB, DDV, SUN, MIN",132,126,2750,24.77,144.5,36,29.92,,,,,,,,,,,,,,
H H Pandya,"MIN, GTI",140,130,2564,28.81,246.2,72,30.9,,,,,,,,,,,,,,
A D Russell,"DDV, KKR",131,108,2494,28.34,287.2,119,22.71,,,,,,,,,,,,,,
J H Kallis,"RCB, KKR",98,96,2427,28.55,290.2,65,35.28,,,,,,,,,,,,,,
D R Smith,"MIN, DCH, CSK, GUJ",91,89,2385,28.39,89.5,26,31.15,,,,,,,,,,,,,,
J-P Duminy,"MIN, DCH, DDV",83,77,2029,39.78,113,23,36.26,,,,,,,,,,,,,,
M P Stoinis,"KXI, RCB, DDV, LSG",99,90,1887,27.75,141.5,43,31.81,,,,,,,,,,,,,,
A R Patel,"KXI, DDV",153,115,1696,21.47,524.3,123,31.09,,,,,,,,,,,,,,
K H Pandya,"MIN, LSG, RCB",130,113,1652,22.03,362.4,79,34.11,,,,,,,,,,,,,,
S P Narine,KKR,180,113,1585,17.04,690.1,182,25.6,,,,,,,,,,,,,,
D J J Bravo,"MIN, CSK, GUJ",161,113,1560,22.61,519.5,183,23.83,,,,,,,,,,,,,,
M M Ali,"RCB, CSK, KKR",69,58,1167,22.44,130.2,37,24.76,,,,,,,,,,,,,,
I K Pathan,"KXI, DDV, SUN, RPS, GUJ",103,82,1139,21.49,340.3,80,33.11,,,,,,,,,,,,,,
R Tewatia,"RRO, KXI, DDV, GTI",97,67,1019,24.26,140.3,32,34.72,,,,,,,,,,,,,,
M C Henriques,"KKR, DDV, RCB, SUN, KXI",62,54,1000,27.78,158.2,42,30.69,,,,,,,,,,,,,,
J A Morkel,"CSK, RCB, DDV, RPS",91,68,974,24.35,287.1,85,27.75,,,,,,,,,,,,,,
A Symonds,"DCH, MIN",39,36,974,36.07,87.5,20,33.7,,,,,,,,,,,,,,
B A Stokes,"RPS, RRO, CSK",45,44,935,24.61,114.5,28,35.43,,,,,,,,,,,,,,
S M Curran,"KXI, CSK",61,50,895,24.19,200.5,58,33.57,,,,,,,,,,,,,,
S T R Binny,"MIN, RRO, RCB",95,68,880,19.13,99,22,34.45,,,,,,,,,,,,,,
M R Marsh,"DCH, PWI, RPS, SUN, DDV, LSG",46,40,850,22.37,93.2,37,21.49,,,,,,,,,,,,,,
Harbhajan Singh,"MIN, CSK, KKR",163,90,833,15.72,569.2,150,26.97,,,,,,,,,,,,,,
R Ashwin,"CSK, RPS, KXI, DDV, RRO",216,95,811,13.3,767,183,29.99,,,,,,,,,,,,,,
Shakib Al Hasan,"KKR, SUN",71,52,793,19.83,247.2,63,29.19,,,,,,,,,,,,,,
A D Mathews,"KKR, PWI, DDV",49,42,724,23.35,131.5,27,39.96,,,,,,,,,,,,,,
P P Chawla,"KXI, KKR, CSK, MIN",192,92,624,11.14,641.4,192,26.6,,,,,,,,,,,,,,
C H Morris,"CSK, RRO, DDV, RCB",81,51,618,22.07,286.4,95,24.16,,,,,,,,,,,,,,
P J Cummins,"KKR, DDV, SUN",63,46,571,19.69,236.3,67,31.48,,,,,,,,,,,,,,
Rashid Khan,"SUN, GTI",125,61,551,14.5,490.3,150,22.63,,,,,,,,,,,,,,
Shahbaz Ahmed,"RCB, SUN, LSG",56,38,545,18.79,91,21,40.9,,,,,,,,,,,,,,
J P Faulkner,"PWI, KXI, RRO, GUJ",60,45,527,21.08,204.3,59,30.14,,,,,,,,,,,,,,
No. of Records = 37,,,,,,,,,,,,,,,,,,,,,,
